X_UTM,Y_UTM,X_NZTM,Y_NZTM,DISTANCE,GPS_ELEV,SP_mVolts,CO2_gm-2d-1,Remarks,X_NZTM_new,Y_NZTM_new,LiDAR_z
312968,5928408,1769954.489,5928764.999,7780,72,66,0,,1769954.489,5928764.999,68.17
312986,5928401,1769972.179,5928757.254,7800,74,80,0,,1769972.179,5928757.254,68.81
313005,5928391,1769990.743,5928746.469,7820,77,76,0,,1769990.743,5928746.469,69.73
313021,5928383,1770006.394,5928737.808,7840,77,75,0,,1770006.394,5928737.808,70.43
313037,5928373,1770021.961,5928727.149,7860,79,78,0,,1770021.961,5928727.149,70.99
313055,5928356,1770039.233,5928709.413,7880,78,80,0,,1770039.233,5928709.413,72.47
313066,5928346,1770049.805,5928698.963,7900,78,77,0,,1770049.805,5928698.963,73.14
313082,5928330,1770065.121,5928682.309,7920,82,83,0,,1770065.121,5928682.309,74.27
313097,5928318,1770079.605,5928669.694,7940,81,84,0,,1770079.605,5928669.694,75.14
313115,5928308,1770097.171,5928658.951,7960,82,82,0,,1770097.171,5928658.951,76.04
313133,5928304,1770114.986,5928654.203,7980,82,82,0,,1770114.986,5928654.203,76.78
313153,5928299,1770134.758,5928648.372,8000,84,80,0,,1770134.758,5928648.372,77.82
313173,5928295,1770154.572,5928643.54,8020,88,83,0,,1770154.572,5928643.54,78.97
313193,5928293,1770174.47,5928640.706,8040,87,85,0,,1770174.47,5928640.706,79.56
313212,5928292,1770193.41,5928638.913,8060,87,87,0,,1770193.41,5928638.913,80.67
313231,5928291,1770212.35,5928637.12,8080,88,75,0,,1770212.35,5928637.12,81.73
313251,5928290,1770232.29,5928635.285,8100,91,78,0,,1770232.29,5928635.285,82.81
313272,5928286,1770253.103,5928630.411,8120,93,83,0,,1770253.103,5928630.411,86.43
313291,5928283,1770271.959,5928626.62,8140,96,90,0,,1770271.959,5928626.62,89.4
313311,5928278,1770291.731,5928620.789,8160,99,78,0,,1770291.731,5928620.789,91.13
313329,5928276,1770309.631,5928618.039,8180,102,83,0,,1770309.631,5928618.039,94.06
313350,5928270,1770330.36,5928611.167,8200,105,76,0,,1770330.36,5928611.167,98.11
313368,5928268,1770348.26,5928608.416,8220,109,80,0,,1770348.26,5928608.416,100.17
313389,5928263,1770369.031,5928602.544,8240,113,79,0,,1770369.031,5928602.544,103.82
313408,5928260,1770387.887,5928598.752,8260,115,79,0,,1770387.887,5928598.752,105.78
313427,5928257,1770406.744,5928594.961,8280,116,78,0,,1770406.744,5928594.961,108.34
313445,5928251,1770424.476,5928588.215,8300,115,75,0,,1770424.476,5928588.215,108.7
313468,5928249,1770447.371,5928585.255,8320,116,73,24.76128705,grass,1770447.371,5928585.255,107.56
313488,5928245,1770467.185,5928580.423,8340,115,75,12.26126325,grass,1770467.185,5928580.423,106.53
313508,5928242,1770487.041,5928576.59,8360,113,78,17.02719042,grass,1770487.041,5928576.59,104.85
313527,5928239,1770505.897,5928572.799,8380,110,80,20.10550395,grass,1770505.897,5928572.799,103.07
313547,5928235,1770525.711,5928567.967,8400,107,78,13.00379114,grass,1770525.711,5928567.967,101.06
313566,5928231,1770544.526,5928563.177,8420,106,79,17.64335083,grass,1770544.526,5928563.177,98.69
313586,5928231,1770564.507,5928562.341,8440,104,76,18.36133249,grass,1770564.507,5928562.341,96.07
313605,5928236,1770583.698,5928566.542,8460,102,73,18.48746903,grass,1770583.698,5928566.542,94
313625,5928241,1770603.889,5928570.702,8480,98,72,18.24344976,grass,1770603.889,5928570.702,91.05
313644,5928244,1770622.996,5928572.905,8500,95,73,7.431808175,grass,1770622.996,5928572.905,86.98
313665,5928247,1770644.102,5928575.025,8520,91,73,12.51506873,grass,1770644.102,5928575.025,83.76
313683,5928250,1770662.21,5928577.27,8540,90,74,11.44463357,grass,1770662.21,5928577.27,81.05
313704,5928256,1770683.441,5928582.386,8560,84,75,2.82923177,grass,1770683.441,5928582.386,77.11
313723,5928259,1770702.548,5928584.59,8580,82,76,10.78977277,grass,1770702.548,5928584.59,73.2
313737,5928273,1770717.12,5928597.991,8600,81,73,0,grass,1770717.12,5928597.991,70.32
313754,5928286,1770734.648,5928610.269,8620,71,78,2.641037022,grass,1770734.648,5928610.269,68.68
313772,5928295,1770753.007,5928618.508,8640,72,76,9.08089987,grass,1770753.007,5928618.508,67.88
313791,5928294,1770771.947,5928616.715,8660,72,78,8.521272982,grass,1770771.947,5928616.715,68.1
313811,5928300,1770792.179,5928621.874,8680,75,67,34.48381014,grass,1770792.179,5928621.874,69.16
313822,5928317,1770803.879,5928638.398,8700,74,71,7.813999979,,1770803.879,5928638.398,68.46
313836,5928335,1770818.618,5928655.796,8720,71,84,1.418473223,,1770818.618,5928655.796,67.78
313848,5928346,1770831.066,5928666.284,8740,76,83,3.145991882,,1770831.066,5928666.284,67.23
313861,5928360,1770844.639,5928679.728,8760,75,84,2.218076072,,1770844.639,5928679.728,66.62
313875,5928376,1770859.295,5928695.128,8780,76,73,2.388498738,,1770859.295,5928695.128,65.78
313890,5928391,1770874.907,5928709.487,8800,76,98,0,Reprocessed the flux and it is 0,1770874.907,5928709.487,65.51
313902,5928407,1770887.565,5928724.97,8820,76,94,0,,1770887.565,5928724.97,65.06
313916,5928425,1770902.304,5928742.368,8840,73,95,0,,1770902.304,5928742.368,64.63
313926,5928438,1770912.838,5928754.938,8860,77,78,0,,1770912.838,5928754.938,64.42
313940,5928454,1770927.493,5928770.338,8880,77,79,0,,1770927.493,5928770.338,64.31
313956,5928466,1770943.979,5928781.658,8900,76,84,3.866017946,,1770943.979,5928781.658,63.83
313976,5928474,1770964.295,5928788.815,8920,73,80,0,,1770964.295,5928788.815,63.71
313998,5928478,1770986.441,5928791.892,8940,70,74,2.981949365,,1770986.441,5928791.892,63.52
314015,5928476,1771003.342,5928789.183,8960,71,91,3.16653055,,1771003.342,5928789.183,63.28
314036,5928476,1771024.322,5928788.306,8980,71,78,4.113058946,,1771024.322,5928788.306,63.02
314058,5928474,1771046.218,5928785.388,9000,70,76,0,,1771046.218,5928785.388,62.83
314078,5928479,1771066.408,5928789.548,9020,72,75,0,,1771066.408,5928789.548,63.17
314090,5928488,1771078.773,5928798.038,9040,69,85,0,,1771078.773,5928798.038,62.78
314111,5928491,1771099.879,5928800.157,9060,74,92,0,,1771099.879,5928800.157,63.84
314131,5928486,1771119.651,5928794.326,9080,72,89,0,,1771119.651,5928794.326,63.43
314150,5928480,1771138.382,5928787.538,9100,73,78,0,,1771138.382,5928787.538,62.47
314169,5928484,1771157.532,5928790.74,9120,72,81,0,,1771157.532,5928790.74,62.28
314189,5928490,1771177.764,5928795.899,9140,72,79,2.909084321,,1771177.764,5928795.899,61.87
314208,5928497,1771197.038,5928802.098,9160,72,83,0,,1771197.038,5928802.098,61.71
314227,5928502,1771216.229,5928806.3,9180,67,84,0,,1771216.229,5928806.3,60.87
314247,5928509,1771236.503,5928812.457,9200,68,80,0,,1771236.503,5928812.457,60.13
314260,5928516,1771249.783,5928818.908,9220,68,85,4.570996774,,1771249.783,5928818.908,59.61
314283,5928523,1771273.054,5928824.94,9240,69,80,1.464420696,,1771273.054,5928824.94,58.71
